----------------------------------------------------------------------
Log name: apr (2 pages)
----------------------------------------------------------------------
Parsing as a full log

[    16.674369268/        0x1c1e8377] <APR>: Tx: dest_svc[3], opcode[0x1290C], size[20]
[    16.674463591/        0x1c1e8a8a] <APR>: Rx: dest_svc[3], opcode[0x1290D], size[36]
[    16.674514841/        0x1c1e8e65] <APR>: Tx: dest_svc[3], opcode[0x1290C], size[20]
[    16.674622237/        0x1c1e9670] <APR>: Rx: dest_svc[3], opcode[0x1290D], size[36]
[    16.674656977/        0x1c1e990c] <APR>: Tx: dest_svc[3], opcode[0x1290C], size[20]
[    16.674754529/        0x1c1ea05c] <APR>: Rx: dest_svc[3], opcode[0x1290D], size[36]
[    16.674788175/        0x1c1ea2e3] <APR>: Tx: dest_svc[3], opcode[0x1290C], size[20]
[    16.674887341/        0x1c1eaa53] <APR>: Rx: dest_svc[3], opcode[0x1290D], size[36]
[    16.674921196/        0x1c1eacdd] <APR>: Tx: dest_svc[3], opcode[0x1290C], size[20]
[    16.675018018/        0x1c1eb41f] <APR>: Rx: dest_svc[3], opcode[0x1290D], size[36]
[    16.675049737/        0x1c1eb681] <APR>: Tx: dest_svc[3], opcode[0x1290C], size[20]
[    16.675145102/        0x1c1ebda7] <APR>: Rx: dest_svc[3], opcode[0x1290D], size[36]
[    16.675180154/        0x1c1ec049] <APR>: Tx: dest_svc[3], opcode[0x1290C], size[20]
[    16.675269998/        0x1c1ec705] <APR>: Rx: dest_svc[3], opcode[0x1290D], size[36]
[    16.675295362/        0x1c1ec8ed] <APR>: Tx: dest_svc[3], opcode[0x1290C], size[20]
[    16.675382237/        0x1c1ecf70] <APR>: Rx: dest_svc[3], opcode[0x1290D], size[36]
[    16.675406768/        0x1c1ed147] <APR>: Tx: dest_svc[3], opcode[0x1290C], size[20]
[    16.675495414/        0x1c1ed7ed] <APR>: Rx: dest_svc[3], opcode[0x1290D], size[36]
[    16.675519268/        0x1c1ed9b8] <APR>: Tx: dest_svc[3], opcode[0x1290C], size[20]
[    16.675606300/        0x1c1ee03e] <APR>: Rx: dest_svc[3], opcode[0x1290D], size[36]
[    16.675630310/        0x1c1ee20c] <APR>: Tx: dest_svc[3], opcode[0x1290C], size[20]
[    16.675718071/        0x1c1ee8a0] <APR>: Rx: dest_svc[3], opcode[0x1290D], size[36]
[    16.675742081/        0x1c1eea6d] <APR>: Tx: dest_svc[3], opcode[0x1290C], size[20]
[    16.675830518/        0x1c1ef10f] <APR>: Rx: dest_svc[3], opcode[0x1290D], size[36]
[    16.675889477/        0x1c1ef57c] <APR>: Tx: dest_svc[3], opcode[0x1290C], size[20]
[    16.675976352/        0x1c1efbff] <APR>: Rx: dest_svc[3], opcode[0x1290D], size[36]
[    16.676000987/        0x1c1efdd9] <APR>: Tx: dest_svc[3], opcode[0x1290C], size[20]
[    16.676089789/        0x1c1f0481] <APR>: Rx: dest_svc[3], opcode[0x1290D], size[36]
[    16.676113904/        0x1c1f0651] <APR>: Tx: dest_svc[3], opcode[0x1290C], size[20]
[    16.676203071/        0x1c1f0d00] <APR>: Rx: dest_svc[3], opcode[0x1290D], size[36]
[    16.676227289/        0x1c1f0ed2] <APR>: Tx: dest_svc[3], opcode[0x1290C], size[20]
[    16.676314737/        0x1c1f1560] <APR>: Rx: dest_svc[3], opcode[0x1290D], size[36]
[    16.676338643/        0x1c1f172b] <APR>: Tx: dest_svc[3], opcode[0x1290C], size[20]
[    16.676426404/        0x1c1f1dc0] <APR>: Rx: dest_svc[3], opcode[0x1290D], size[36]
[    16.676450935/        0x1c1f1f97] <APR>: Tx: dest_svc[3], opcode[0x1290C], size[20]
[    16.676539737/        0x1c1f2640] <APR>: Rx: dest_svc[3], opcode[0x1290D], size[36]
[    16.676563435/        0x1c1f2807] <APR>: Tx: dest_svc[3], opcode[0x1290C], size[20]
[    16.676651456/        0x1c1f2ea1] <APR>: Rx: dest_svc[3], opcode[0x1290D], size[36]
[    16.676675362/        0x1c1f306d] <APR>: Tx: dest_svc[3], opcode[0x1290C], size[20]
[    16.676763539/        0x1c1f3709] <APR>: Rx: dest_svc[3], opcode[0x1290D], size[36]
[    16.676787862/        0x1c1f38dc] <APR>: Tx: dest_svc[3], opcode[0x1290C], size[20]
[    16.676875466/        0x1c1f3f6e] <APR>: Rx: dest_svc[3], opcode[0x1290D], size[36]
[    16.676899633/        0x1c1f413e] <APR>: Tx: dest_svc[3], opcode[0x1290C], size[20]
[    16.676987446/        0x1c1f47d4] <APR>: Rx: dest_svc[3], opcode[0x1290D], size[36]
[    16.677011352/        0x1c1f499f] <APR>: Tx: dest_svc[3], opcode[0x1290C], size[20]
[    16.677098175/        0x1c1f5022] <APR>: Rx: dest_svc[3], opcode[0x1290D], size[36]
[    16.677122237/        0x1c1f51f1] <APR>: Tx: dest_svc[3], opcode[0x1290C], size[20]
[    16.677209893/        0x1c1f5883] <APR>: Rx: dest_svc[3], opcode[0x1290D], size[36]
[    16.677234008/        0x1c1f5a52] <APR>: Tx: dest_svc[3], opcode[0x1290C], size[20]
